* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     TX01     RH01     WD01     WD02     WD07     WD08     PP01     SS01     TS01     TS02     TS03     TS04     TS06     TS07     GR01     WD09     TG01
C0C740 2025020609   1019.5     16.0       76      3.7     68.0      7.3     72.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C740 2025020610   1019.2     16.3       75      3.9     63.0      7.1     66.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C740 2025020611   1017.8     16.7       75      4.0     69.0      7.2     67.0      0.0     None     None     None     None     None     None     None     None     4100     None
C0C740 2025020612   1016.9     17.8       72      5.2     67.0      9.2     64.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C740 2025020613   1015.7     18.5       70      3.5     55.0      6.9     59.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C740 2025020614   1014.9     18.5       69      3.3     83.0      6.5     63.0      0.0     None     None     None     None     None     None     None     None     3700     None
C0C740 2025020615   1015.1     18.3       71      2.3     92.0      6.0     65.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C740 2025020616   1015.5     17.2       80      3.1     57.0      5.2     36.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C740 2025020617   1016.0     17.1       83      2.7     57.0      4.8     59.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C740 2025020618   1017.0     17.0       83      2.2     57.0      4.1     72.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C740 2025020619   1017.8     16.5       87      3.5     56.0      6.5     63.0      0.0     None     None     None     None     None     None     None     None     4800     None
C0C740 2025020620   1018.0     16.2       88      4.8     61.0      9.5     53.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C740 2025020621   1017.7     15.9       90      5.1     62.0      9.6     66.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C740 2025020622   1018.3     15.8       92      7.3     57.0     13.3     55.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C740 2025020623   1018.6     15.6       91      6.7     58.0     12.3     58.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C740 2025020624   1018.7     15.7       91      5.9     56.0     12.1     50.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C740 2025020701   1019.3     15.6       93      5.4     47.0     11.9     58.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C740 2025020702   1019.1     15.0       96      5.6     52.0     13.6     47.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C740 2025020703   1019.0     14.9       96      6.0     58.0     12.0     61.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C740 2025020704   1019.1     14.2       96      6.5     49.0     11.9     50.0      0.5     None     None     None     None     None     None     None     None     4400     None
C0C740 2025020705   1020.0     13.7       96      6.5     47.0     15.6     47.0      0.0     None     None     None     None     None     None     None     None     3400     None
C0C740 2025020706   1020.4     13.4       95      6.5     54.0     13.5     57.0      0.5     None     None     None     None     None     None     None     None     2900     None
C0C740 2025020707   1020.8     13.3       94      8.5     58.0     13.9     63.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C740 2025020708   1021.8     13.4       93      7.0     54.0     15.0     48.0      0.0     None     None     None     None     None     None     None     None     3700     None
C0C740 2025020709   1023.0     13.7       90      7.6     45.0     13.8     63.0      0.0     None     None     None     None     None     None     None     None     4400     None
C0C740 2025020710   1022.9     13.0       94      7.3     48.0     14.3     50.0      0.0     None     None     None     None     None     None     None     None     4200     None
C0C740 2025020711   1022.6     12.3       94      7.9     51.0     14.0     41.0      0.5     None     None     None     None     None     None     None     None     5500     None
C0C740 2025020712   1022.0     13.1       90      7.6     55.0     16.5     54.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C740 2025020713   1021.7     13.3       88      7.7     53.0     16.3     41.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C740 2025020714   1021.5     12.1       88      8.7     55.0     16.4     55.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C740 2025020715   1022.0     12.1       80      9.0     57.0     18.0     54.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C740 2025020716   1022.5     12.8       71      8.7     56.0     16.6     43.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C740 2025020717   1023.7     12.4       71      9.2     55.0     17.1     47.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C740 2025020718   1024.3     12.3       71      8.9     52.0     15.5     51.0      0.0     None     None     None     None     None     None     None     None     3400     None
C0C740 2025020719   1025.1     12.2       72      7.7     57.0     14.9     49.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C740 2025020720   1025.6     12.5       69      8.1     56.0     17.5     52.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C740 2025020721   1025.7     12.7       70      8.1     59.0     14.0     63.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C740 2025020722   1025.7     11.5       85      7.5     61.0     15.0     69.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C740 2025020723   1025.7     11.2       86      8.7     61.0     18.5     62.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C740 2025020724   1025.9     10.8       86      8.9     59.0     15.9     58.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C740 2025020801   1025.9     11.3       81      9.4     60.0     17.4     58.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C740 2025020802   1025.6     11.3       75      9.1     60.0     15.8     74.0      0.0     None     None     None     None     None     None     None     None     3200     None
C0C740 2025020803   1025.5     11.3       70      8.4     59.0     17.2     53.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C740 2025020804   1025.9     11.2       70      8.4     60.0     16.5     54.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C740 2025020805   1025.5     11.2       69      9.1     60.0     19.4     67.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C740 2025020806   1025.7     11.2       69      8.7     63.0     16.9     53.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C740 2025020807   1026.4     11.0       70      8.9     59.0     19.3     59.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C740 2025020808   1027.0     10.6       67      9.7     59.0     18.4     56.0      0.0     None     None     None     None     None     None     None     None     3500     None
C0C740 2025020809   1028.1     10.6       70      9.0     56.0     17.8     60.0      0.0     None     None     None     None     None     None     None     None     4400     None
C0C740 2025020810   1028.2     10.3       66     10.0     56.0     18.1     53.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C740 2025020811   1027.9     10.0       68      9.3     56.0     17.7     58.0      0.0     None     None     None     None     None     None     None     None     1600     None
C0C740 2025020812   1027.2      9.9       64      8.8     58.0     16.8     61.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C740 2025020813   1026.1      9.9       64      8.6     58.0     16.1     57.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C740 2025020814   1025.5     10.1       63      8.5     57.0     15.3     55.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C740 2025020815   1025.3     10.0       65      7.9     60.0     15.0     43.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C740 2025020816   1025.4     10.0       64      7.4     55.0     15.1     53.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C740 2025020817   1025.8      9.9       65      8.8     56.0     16.1     55.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C740 2025020818   1026.3     10.2       64      8.1     57.0     15.4     53.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C740 2025020819   1026.5     10.3       64      7.4     63.0     15.5     58.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C740 2025020820   1026.4     10.5       66      7.1     63.0     14.7     61.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C740 2025020821   1026.3     10.9       67      8.4     60.0     15.2     59.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C740 2025020822   1026.1     10.8       65      6.3     69.0     14.2     50.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C740 2025020823   1025.8     11.0       66      5.4     65.0     13.6     52.0      0.0     None     None     None     None     None     None     None     None     0600     None
C0C740 2025020824   1025.6     11.2       64      6.6     63.0     13.0     62.0      0.0     None     None     None     None     None     None     None     None     4000     None
C0C740 2025020901   1025.6     11.4       65      5.9     65.0     12.8     48.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C740 2025020902   1025.8     10.6       75      5.4     70.0     10.3     58.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C740 2025020903   1025.9     10.1       83      6.0     63.0     11.7     54.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C740 2025020904   1025.7      9.7       88      4.6     67.0     10.1     43.0      0.5     None     None     None     None     None     None     None     None     0400     None
C0C740 2025020905   1025.9      9.8       88      4.1     66.0      7.9     81.0      0.0     None     None     None     None     None     None     None     None     3600     None
C0C740 2025020906   1026.2      9.9       90      5.4     59.0     13.2     48.0      0.5     None     None     None     None     None     None     None     None     3800     None
C0C740 2025020907   1026.5     10.1       89      5.1     74.0     11.1     70.0      0.5     None     None     None     None     None     None     None     None     2700     None
C0C740 2025020908   1026.3     10.8       86      4.7     65.0      9.7     83.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C740 2025020909   1026.4     11.7       79      4.5     63.0     11.3     54.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C740 2025020910   1026.1     11.4       79      4.7     65.0      9.0     58.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C740 2025020911   1025.5     12.2       78      6.5     59.0     12.0     62.0      0.0     None     None     None     None     None     None     None     None     3600     None
C0C740 2025020912   1024.7     11.8       78      7.1     54.0     13.0     69.0      0.0     None     None     None     None     None     None     None     None     3000     None
C0C740 2025020913   1023.8     11.9       77      6.6     56.0     12.6     49.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C740 2025020914   1022.6     11.8       74      7.1     57.0     13.0     46.0      0.0     None     None     None     None     None     None     None     None     1500     None
C0C740 2025020915   1021.7     12.0       73      6.8     57.0     15.1     56.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C740 2025020916   1022.0     12.1       72      7.9     57.0     13.5     51.0      0.0     None     None     None     None     None     None     None     None     4400     None
C0C740 2025020917   1022.7     12.2       72      8.2     57.0     15.4     53.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C740 2025020918   1023.1     12.3       71      7.5     60.0     14.2     48.0      0.0     None     None     None     None     None     None     None     None     2600     None
C0C740 2025020919   1023.3     12.3       70      7.2     67.0     13.9     63.0      0.0     None     None     None     None     None     None     None     None     4700     None
C0C740 2025020920   1023.4     12.0       72      7.3     66.0     12.6     63.0      0.0     None     None     None     None     None     None     None     None     5100     None
C0C740 2025020921   1023.6     12.4       72      7.0     67.0     12.1     57.0      0.0     None     None     None     None     None     None     None     None     3600     None
C0C740 2025020922   1023.4     12.7       69      6.9     66.0     13.0     61.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C740 2025020923   1023.4     12.5       70      5.3     70.0     11.3     66.0      0.0     None     None     None     None     None     None     None     None     0700     None
C0C740 2025020924   1023.2     12.5       69      5.5     65.0      9.9     61.0      0.0     None     None     None     None     None     None     None     None     3900     None
C0C740 2025021001   1023.1     12.9       68      6.1     63.0     11.1     57.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C740 2025021002   1022.5     13.2       68      5.8     62.0     11.4     57.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C740 2025021003   1021.9     13.2       69      5.4     61.0     10.9     57.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C740 2025021004   1021.8     13.6       69      5.5     63.0      9.3     61.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C740 2025021005   1022.1     14.0       69      5.2     65.0      9.4     61.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C740 2025021006   1022.5     14.3       68      5.7     65.0     10.7     55.0      0.0     None     None     None     None     None     None     None     None     0600     None
C0C740 2025021007   1023.3     14.3       69      3.9     62.0     11.1     60.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C740 2025021008   1023.2     14.7       74      4.2     64.0      7.8     73.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C740 2025021009   1022.8     16.1       65      6.1     75.0     11.1     68.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C740 2025021010   1022.6     17.5       61      5.5     64.0     11.3     57.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C740 2025021011   1022.0     18.7       61      3.6     53.0     10.0     72.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C740 2025021012   1021.6     18.2       66      5.3     44.0      9.0     39.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C740 2025021013   1020.1     18.3       66      5.0     44.0      7.9     46.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C740 2025021014   1019.3     19.1       67      4.0     51.0      8.4     47.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C740 2025021015   1018.7     18.8       67      4.8     47.0      8.9     58.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C740 2025021016   1018.4     18.3       70      5.0     54.0      8.9     61.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C740 2025021017   1018.9     19.2       56      3.5     74.0      8.0     42.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C740 2025021018   1019.1     17.5       63      4.4     69.0      9.3     81.0      0.0     None     None     None     None     None     None     None     None     2100     None
C0C740 2025021019   1019.7     16.5       68      4.1     62.0      8.4     64.0      0.0     None     None     None     None     None     None     None     None     4700     None
C0C740 2025021020   1020.1     16.6       68      4.9     62.0      9.3     60.0      0.0     None     None     None     None     None     None     None     None     3700     None
C0C740 2025021021   1020.1     16.2       71      4.0     63.0      9.5     64.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C740 2025021022   1020.0     16.2       72      3.6     63.0      7.1     71.0      0.0     None     None     None     None     None     None     None     None     1600     None
C0C740 2025021023   1020.0     16.3       73      3.3     60.0      5.9     63.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C740 2025021024   1020.1     16.2       73      3.0     59.0      5.7     70.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C740 2025021101   1019.9     15.8       75      2.4     62.0      5.7     55.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C740 2025021102   1019.5     16.1       75      2.1     69.0      4.1     63.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C740 2025021103   1019.2     16.2       73      1.2     75.0      3.6     66.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C740 2025021104   1019.0     15.5       76      1.2     60.0      2.3     72.0      0.0     None     None     None     None     None     None     None     None     4900     None
C0C740 2025021105   1019.1     14.4       79      0.4    346.0      1.7    286.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C740 2025021106   1019.2     13.8       83      0.2      0.0      1.1     33.0      0.0     None     None     None     None     None     None     None     None     4900     None
C0C740 2025021107   1019.5     14.1       84      1.2     50.0      1.7     62.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C740 2025021108   1019.5     17.4       72      2.0    106.0      3.8    107.0      0.0     None     None     None     None     None     None     None     None     5100     None
C0C740 2025021109   1019.6     19.7       62      1.1     42.0      3.6     82.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C740 2025021110   1019.9     18.3       74      3.2    280.0      5.3    296.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C740 2025021111   1019.8     17.6       74      3.3    270.0      5.5    290.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C740 2025021112   1018.9     18.8       69      2.2    283.0      5.2    292.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C740 2025021113   1017.9     19.8       69      2.1    272.0      3.7    274.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C740 2025021114   1017.0     19.8       74      1.9    297.0      4.0    305.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C740 2025021115   1016.4     20.1       73      1.9    294.0      3.5    298.0      0.0     None     None     None     None     None     None     None     None     3600     None
C0C740 2025021116   1016.0     18.5       87      1.9    307.0      4.6    286.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C740 2025021117   1016.0     18.6       87      1.2    316.0      3.4    289.0      0.0     None     None     None     None     None     None     None     None     0900     None
C0C740 2025021118   1016.5     17.6       91      0.4    321.0      2.5    275.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C740 2025021119   1016.8     17.4       92      0.5    337.0      2.2      2.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C740 2025021120   1017.3     17.6       93      1.4    241.0      2.6    259.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C740 2025021121   1017.6     17.6       93      1.8    232.0      3.8    249.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C740 2025021122   1017.5     17.1       93      1.9    226.0      4.2    227.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C740 2025021123   1017.5     16.8       93      2.2    244.0      5.0    246.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C740 2025021124   1017.8     16.7       93      1.9    249.0      5.3    242.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C740 2025021201   1017.8     16.4       94      1.6    263.0      4.9    258.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C740 2025021202   1017.9     16.2       94      2.0    252.0      4.5    238.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C740 2025021203   1017.9     15.8       94      1.6    290.0      3.0    237.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C740 2025021204   1017.7     15.5       94      1.6    294.0      3.2    271.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C740 2025021205   1017.9     15.5       94      1.3    293.0      2.2    298.0      0.0     None     None     None     None     None     None     None     None     3600     None
C0C740 2025021206   1018.6     15.5       94      1.4    291.0      2.2    295.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C740 2025021207   1018.9     15.5       94      1.2    360.0      2.6     14.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C740 2025021208   1019.0     15.9       93      1.8     49.0      3.3     52.0      0.0     None     None     None     None     None     None     None     None     4700     None
C0C740 2025021209   1019.0     16.7       92      1.8     72.0      3.8     60.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C740 2025021210   1018.9     19.1       84      1.2     67.0      4.7     61.0      0.0     None     None     None     None     None     None     None     None     4200     None
C0C740 2025021211   1017.7     21.1       75      2.0     73.0      5.6    101.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C740 2025021212   1016.6     22.2       73      2.0     99.0      3.9    101.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C740 2025021213   1015.8     23.1       67      0.9     53.0      4.7     85.0      0.0     None     None     None     None     None     None     None     None     2100     None
C0C740 2025021214   1015.6     18.0       88      2.6    269.0      5.8    297.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C740 2025021215   1015.3     17.4       92      2.3    260.0      5.0    240.0      0.5     None     None     None     None     None     None     None     None     4400     None
C0C740 2025021216   1015.5     17.2       92      1.8    269.0      4.0    287.0      0.0     None     None     None     None     None     None     None     None     4400     None
C0C740 2025021217   1016.8     16.4       94      1.7    288.0      3.5    283.0      0.0     None     None     None     None     None     None     None     None     3600     None
C0C740 2025021218   1017.6     16.2       95      0.9    345.0      2.5    293.0      0.5     None     None     None     None     None     None     None     None     0200     None
C0C740 2025021219   1018.0     16.0       96      2.3     56.0      3.8     66.0      3.0     None     None     None     None     None     None     None     None     5000     None
C0C740 2025021220   1018.7     16.2       97      2.8     66.0      4.6     80.0      4.0     None     None     None     None     None     None     None     None     5700     None
C0C740 2025021221   1019.3     16.0       98      2.6     59.0      5.4     60.0      3.0     None     None     None     None     None     None     None     None     4500     None
C0C740 2025021222   1019.2     16.4       98      2.6     66.0      4.8     42.0      0.5     None     None     None     None     None     None     None     None     4000     None
C0C740 2025021223   1019.5     16.8       98      2.2     66.0      6.1     53.0      2.0     None     None     None     None     None     None     None     None     1700     None
C0C740 2025021224   1020.2     15.6       98      8.4     58.0     11.7     59.0      3.0     None     None     None     None     None     None     None     None     3900     None
C0C740 2025021301   1020.3     15.1       98      7.9     60.0     14.9     52.0      2.5     None     None     None     None     None     None     None     None     2700     None
C0C740 2025021302   1020.4     14.7       96      9.0     59.0     15.7     58.0      1.0     None     None     None     None     None     None     None     None     1300     None
C0C740 2025021303   1020.4     14.2       96      8.6     58.0     16.4     64.0      1.0     None     None     None     None     None     None     None     None     4800     None
C0C740 2025021304   1020.6     14.2       96      7.9     57.0     16.1     66.0      2.5     None     None     None     None     None     None     None     None     3100     None
C0C740 2025021305   1021.0     13.7       96      9.1     57.0     16.2     59.0      3.5     None     None     None     None     None     None     None     None     5200     None
C0C740 2025021306   1021.8     13.5       97      8.0     60.0     15.8     55.0      5.5     None     None     None     None     None     None     None     None     1900     None
C0C740 2025021307   1021.1     12.8       97      9.6     59.0     17.3     64.0      6.5     None     None     None     None     None     None     None     None     3900     None
C0C740 2025021308   1022.8     12.7       94      9.6     60.0     17.8     60.0      3.0     None     None     None     None     None     None     None     None     1300     None
C0C740 2025021309   1022.7     13.1       94      8.6     61.0     16.3     72.0      4.0     None     None     None     None     None     None     None     None     1100     None
C0C740 2025021310   1021.7     13.8       93      7.7     64.0     16.1     70.0      0.5     None     None     None     None     None     None     None     None     2300     None
C0C740 2025021311   1021.0     14.9       86      9.6     59.0     18.0     62.0      0.0     None     None     None     None     None     None     None     None     3700     None
C0C740 2025021312   1020.3     15.1       83      9.8     58.0     16.3     66.0      0.0     None     None     None     None     None     None     None     None     3200     None
C0C740 2025021313   1020.0     14.7       89      9.6     59.0     16.1     62.0      0.0     None     None     None     None     None     None     None     None     5700     None
C0C740 2025021314   1019.4     14.7       88      9.7     57.0     18.0     53.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C740 2025021315   1019.0     14.6       88      9.0     57.0     16.4     56.0      0.0     None     None     None     None     None     None     None     None     3900     None
C0C740 2025021316   1019.2     14.5       88      8.9     57.0     17.0     66.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C740 2025021317   1019.4     14.5       88      8.8     58.0     17.6     55.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C740 2025021318   1019.6     14.5       87      9.4     59.0     16.7     52.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C740 2025021319   1019.8     14.6       87      8.7     59.0     16.8     68.0      0.0     None     None     None     None     None     None     None     None     2100     None
C0C740 2025021320   1019.8     14.8       85      8.2     60.0     17.5     59.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C740 2025021321   1020.0     15.1       83      7.8     61.0     17.5     68.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C740 2025021322   1019.8     15.2       83      8.0     62.0     15.3     63.0      0.0     None     None     None     None     None     None     None     None     0600     None
C0C740 2025021323   1019.2     15.5       83      7.0     60.0     14.7     54.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C740 2025021324   1019.0     15.7       83      8.0     61.0     14.0     61.0      0.0     None     None     None     None     None     None     None     None     3900     None
C0C740 2025021401   1018.5     15.8       82      7.2     60.0     16.4     54.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C740 2025021402   1017.8     15.9       84      6.8     61.0     13.3     66.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C740 2025021403   1017.2     15.9       85      6.2     62.0     12.7     65.0      0.0     None     None     None     None     None     None     None     None     2100     None
C0C740 2025021404   1017.0     15.9       86      6.2     59.0     12.2     64.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C740 2025021405   1017.3     16.1       85      6.0     57.0     13.0     80.0      0.0     None     None     None     None     None     None     None     None     3600     None
C0C740 2025021406   1017.5     16.3       84      5.5     61.0     12.9     58.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C740 2025021407   1017.7     16.4       85      5.6     64.0     11.4     78.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C740 2025021408   1018.2     16.9       84      6.7     59.0     11.6     60.0      0.0     None     None     None     None     None     None     None     None     4800     None
C0C740 2025021409   1018.4     17.5       82      6.5     58.0     12.3     58.0      0.0     None     None     None     None     None     None     None     None     0700     None
C0C740 2025021410   1018.0     18.1       81      6.5     55.0     13.6     56.0      0.0     None     None     None     None     None     None     None     None     0600     None
C0C740 2025021411   1017.4     18.1       82      7.3     55.0     12.3     57.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C740 2025021412   1016.5     17.9       84      7.2     56.0     12.6     58.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C740 2025021413   1015.8     17.5       87      5.9     53.0     12.4     50.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C740 2025021414   1015.3     17.4       89      5.3     53.0     11.4     51.0      0.0     None     None     None     None     None     None     None     None     4100     None
C0C740 2025021415   1014.6     17.4       90      5.1     58.0     11.5     55.0      0.0     None     None     None     None     None     None     None     None     0600     None
C0C740 2025021416   1014.4     17.8       91      4.3     53.0      8.5     63.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C740 2025021417   1014.4     17.5       92      4.0     60.0      8.3     59.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C740 2025021418   1015.0     17.3       93      3.4     56.0      7.0     58.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C740 2025021419   1014.9     17.4       94      3.2     61.0      6.5     67.0      0.0     None     None     None     None     None     None     None     None     2900     None
